job_id,registration_nr_full,address_final,samatos_pavadinimas,contractor,work_type,qty_extracted,unit,cost_be_pvm_eur,unit_price
76,V25-0345771,Reikjaviko g. 6,Šildymo sistemos stovo ir trieigių vožtuvų keitimas 81-ame bute,"Noske, UAB_21",PIPE_STACK,5.0,vnt,1418.19,283.63800000000003
77,V25-0315943-3,Šilutės pl. 42,Karšto ir cirkuliacinio vandens stovų ventilių su drenažiniais ventiliais ir cirkuliacinio siurblio keitimas,"Noske, UAB_21",PIPE_STACK,10.0,vnt,2021.64,202.16400000000002
78,V25-0270744-4,Baltijos pr. 69,Šildymo sistemos stovo keitimas (skersmuo - iki 40 mm.),"Noske, UAB_21",PIPE_STACK,1.0,vnt,424.83,424.83
79,V25-0348277-2,Baltijos pr. 83,Šildymo sistemos radiatoriaus nuorintojų keitimas,"Noske, UAB_21",PIPE_STACK,7.0,vnt,287.39,41.05571428571428
80,V25-0414109-1,Debreceno g. 46,Karšto vandens vamzdyno remonto darbai rūsyje,"Noske, UAB_21",PIPE,1.0,vnt,397.15,397.15
81,V25-0358169-3,Debreceno g. 46,Šildymo sistemos stovo ventilių keitimas su drenažinių ventilių keitimu,"Noske, UAB_21",PIPE_STACK,2.0,vnt,426.64,213.32
82,V25-0352563-2,Taikos pr. 123,"Šildymo radiatoriaus kamščių su nuorintojais keitimas, 2 vnt","Noske, UAB_21",RADIATOR,2.0,vnt,143.0,71.5
83,V25-0381365-2,I. Simonaitytės g. 1,Šildymo sistemos nuorintojo montavimas,"Noske, UAB_21",RADIATOR,1.0,vnt,89.93,89.93
84,V25-0331055-3,Šilutės pl. 86,Nuotekų stovo keitimas (skersmuo 100 mm.),"Noske, UAB_21",SEWER,1.0,m,563.73,563.73
85,V25-0314214-4,Alksnynės g. 15,Šildymo sistemos stovo keitimas (skersmuo - iki 40 mm.),"Noske, UAB_21",PIPE_STACK,2.0,vnt,783.07,391.535
86,V25-0345771,Reikjaviko g. 6,Šildymo sistemos stovo ir trieigių vožtuvų keitimas 81-ame bute,"Noske, UAB_21",PIPE_STACK,5.0,vnt,-1418.19,-283.63800000000003
87,V25-0279985-2,Debreceno g. 40,Karšto ir cirkuliacinio vandens stovų ventilių ir drenažinių ventilių keitimas techniniame koridoriuje,"Noske, UAB_21",PIPE_STACK,2.0,vnt,330.92,165.46
88,V25-0276589-5,Debreceno g. 20,Trieigių vožtuvų ir vamzdyno atkarpos keitimas,"Noske, UAB_21",PIPE,2.0,vnt,538.91,269.455
89,V25-0407994-1,Debreceno g. 14,Karšto vandens ventilio su drenažiniu ventiliu keitimas rūsyje,"Noske, UAB_21",PIPE_STACK,1.0,vnt,167.82,167.82
90,V25-0271399-2,Debreceno g. 20,Šildymo sistemos trieigio vožtuvo ir vamzdyno atkarpų keitimas ties 28-u butu,"Noske, UAB_21",PIPE,1.0,vnt,303.73,303.73
91,V25-0217903-7,Debreceno g. 60,Sutapdinto stogo dangos atskirų vietų remonto darbai (iki 10m2),"Komandax, MB_21",ROOF,10.0,m2,286.0,28.6
92,V25-0143809-3,Debreceno g. 56,"Nuotekų stovo frezavimas, alsuoklių remontas CIPP metodu","Biostera, MB_21",SEWER,2.0,vnt,800.0,400.0
93,V25-0143809-3,Debreceno g. 56,"Nuotekų stovo frezavimas, alsuoklių remontas CIPP metodu","Biostera, MB_21",SEWER,2.0,vnt,1913.2,956.6
94,V25-0143881-4,I. Simonaitytės g. 32,Nuotekų stovo alsuoklio atkimšimas ir remontas,"Biostera, MB_21",SEWER,3.0,vnt,2713.2,904.4
95,V25-0388553,Baltijos pr. 25,"Karšto vandens temperatūros reguliavimas, atstatymas","Mano Būstas Klaipėda, UAB",LOCK_DOOR,4.0,m,35.0,8.75
96,V25-0314214-6,Žardininkų g. 9,Šildymo sistemos vandens išleidimas,"Mano Būstas Klaipėda, UAB",PIPE_STACK,2.0,vnt,35.0,17.5
97,V25-0314214,Alksnynės g. 15,"Šildymo vamzdynų sistemos techninės būklės įvertinimo ir patikrinimo darbai, išvadų pateikimas","Mano Būstas Klaipėda, UAB",PIPE_STACK,2.0,vnt,35.0,17.5
98,V25-0338703,Alksnynės g. 9,Lempų keitimas bendro naudojimo patalpose,"Mano Būstas Klaipėda, UAB",LIGHT,3.0,m,52.5,17.5
99,V25-0242621-3,Varpų g. 19,"Lauko šviestuvo, prožektoriaus keitimas","Mano Būstas Klaipėda, UAB",LIGHT,3.0,m,141.11,47.03666666666667
100,V25-0315943-3,Šilutės pl. 42,Karšto ir cirkuliacinio vandens stovų ventilių su drenažiniais ventiliais ir cirkuliacinio siurblio keitimas,"Mano Būstas Klaipėda, UAB",PIPE_STACK,10.0,vnt,2021.64,202.16400000000002
101,V25-0358169-3,Debreceno g. 46,Šildymo sistemos stovo ventilių keitimas su drenažinių ventilių keitimu,"Mano Būstas Klaipėda, UAB",PIPE_STACK,2.0,vnt,283.64,141.82
102,V25-0358174,Debreceno g. 14,Avarijos priežasties (pobūdžio) nustatymo darbai šildymo sistemose,"Mano Būstas Klaipėda, UAB",PIPE_STACK,3.0,vnt,48.4,16.133333333333333
103,V25-0358169,Vingio g. 15,"Šildymo vamzdynų sistemos techninės būklės įvertinimo ir patikrinimo darbai, išvadų pateikimas","Mano Būstas Klaipėda, UAB",PIPE_STACK,2.0,vnt,35.0,17.5
104,V25-0413505-5,Reikjaviko g. 14,Vandens sistemos patikra,"Mano Būstas Klaipėda, UAB",LIGHT,3.0,m,35.0,11.666666666666666
105,V25-0256836-2,Smiltelės g. 9,Šildymo sistemos stovo ventilių keitimas su drenažinių ventilių keitimu (skersmuo - iki 40 mm.),"Mano Būstas Klaipėda, UAB",PIPE_STACK,12.0,vnt,52.5,4.375
106,V25-0292749-3,Vingio g. 15,"Šildymo sistemos remonto darbai ties 43-iu butu, 3-ia laiptinė","Mano Būstas Klaipėda, UAB",RADIATOR,3.0,vnt,52.5,17.5
107,V25-0358169-3,Debreceno g. 46,Šildymo sistemos stovo ventilių keitimas su drenažinių ventilių keitimu,"Mano Būstas Klaipėda, UAB",PIPE_STACK,2.0,vnt,426.64,213.32
108,V25-0368277-3,Baltijos pr. 91,Nuotekų vamzdyno atkarpos keitimas rūsyje,"Mano Būstas Klaipėda, UAB",SEWER,4.0,m,419.55,104.8875
109,V25-0413505,I. Simonaitytės g. 23,"Karšto vandens temperatūros reguliavimas, atstatymas","Mano Būstas Klaipėda, UAB",LIGHT,3.0,m,35.0,11.666666666666666
110,V25-0367566,J. Karoso g. 20,"Šildymo sistemos vamzdyno remontas, vamzdyno patikra su vaizdo kamera, vamzdyno valymas","Noske, UAB_21",PIPE_STACK,1.5,m,2994.72,1996.4799999999998
111,V25-0285213-8,Žalgirio g. 1,Šildymo sistemos vamzdyno keitimo darbai,"Noske, UAB_21",SEWER,2.0,vnt,858.19,429.095
112,V25-0367566,J. Karoso g. 20,"Šildymo sistemos vamzdyno remontas, vamzdyno patikra su vaizdo kamera, vamzdyno valymas","Noske, UAB_21",PIPE_STACK,1.5,m,2994.72,1996.4799999999998
113,V25-0388547-1,"Turgaus a.   17, Klaipėda",Lietlovių valymas,"Dapreka, MB_21",PIPE,1.0,m,644.63,644.63
114,V25-0393996,S. Daukanto g. 27,Lietlovių valymas,"Dapreka, MB_21",PIPE,1.0,m,347.11,347.11
115,V23-0506069-24,Poilsio g. 12,"Išorinių sienų tarpblokinių siūlių remontas, blokų impregnavimas",Alpinus LT UAB_21,FACADE_SEAM,3.0,m,1600.83,533.61
116,V23-0506069-24,Poilsio g. 12,"Išorinių sienų tarpblokinių siūlių remontas, blokų impregnavimas",Alpinus LT UAB_21,FACADE_SEAM,3.0,m,3099.17,1033.0566666666666
117,V25-0094663-1,I. Simonaitytės g. 32,"Karšto vandens stovo atkarpos ir uždaromosios armatūros keitimas, 2-a laiptinė","Noske, UAB_21",PIPE_STACK,1.0,m,403.0,403.0
118,V25-0021710-1,Debreceno g. 92,"Karšto šalto vandens, cirkuliacinio ir nuotekų stovų keitimas","Noske, UAB_21",SEWER,3.0,m,886.36,295.4533333333333
119,V25-0031095-5,Debreceno g. 82,Šalto ir karšto vandens vamzdynų keitimas atidengiant vamzdynus   sienose (skersmuo iki 80 mm.),"Noske, UAB_21",SEWER,4.0,vnt,395.91,98.9775
120,V25-0046745-5,Reikjaviko g. 6,Karšto ir cirkuliacinio vandens stovų keitimas,"Noske, UAB_21",PIPE_STACK,2.0,vnt,484.54,242.27
121,V25-0021710-1,Debreceno g. 92,"Karšto šalto vandens, cirkuliacinio ir nuotekų stovų keitimas","Noske, UAB_21",SEWER,3.0,m,886.36,295.4533333333333
122,V25-0044392-3,Šilutės pl. 88,"Bendro naudojimo nuotekų vamzdyno atkarpos keitimas atidengiant vamzdyną grindyse, rūsyje","Noske, UAB_21",SEWER,2.0,m,1063.63,531.815
123,V25-0031095-7,Debreceno g. 82,Šalto ir karšto vandens ventilių keitimas bute,"Noske, UAB_21",SEWER,4.0,vnt,220.25,55.0625
124,V25-0034999-6,Reikjaviko g. 11,"Stovų ventilių keitimas, 2 vnt","Noske, UAB_21",PIPE_STACK,2.0,vnt,209.51,104.755
125,V24-0080593-10,Baltijos pr. 81,"Elektromagnetinių raktų gamyba, 15 vnt","Digitalas, UAB_21",LIGHT,15.0,vnt,61.98,4.132
126,V25-0003518-15,Varpų g. 21,Lietaus nuotekų vamzdynų keitimas,"Daivilė, UAB_21",SEWER,6.0,vnt,1500.0,250.0
127,V25-0003518-15,Varpų g. 21,Lietaus nuotekų vamzdynų keitimas,"Daivilė, UAB_21",SEWER,6.0,vnt,1288.5,214.75
128,V23-0561663-20,I. Simonaitytės g. 1,Stogo remonto darbai,Bituminiai stogai​ UAB_21,ROOF,30.0,m,1950.0,65.0
129,V25-0044392-1,Šilutės pl. 88,Avariniai nuotekų vamzdynų sistemų darbai,"Biostera, MB_21",SEWER,2.0,m,156.0,78.0
130,V24-0478495-5,Žardininkų g. 8,Vamzdyno remontas CIPP Lining metodu,"Biostera, MB_21",PIPE,1.5,m,578.51,385.67333333333335
131,V25-0096495-1,Debreceno g. 72,"Šildymo sistemos vamzdyno keitimas, izoliavimas","Mano Būstas Klaipėda, UAB",PIPE,2.5,m,207.06,82.824
132,V25-0004470,Taikos pr. 71,Šilumos punkte nuorinimo ventilio montavimas,"Mano Būstas Klaipėda, UAB",PIPE,1.5,m,317.89,211.92666666666665
133,V25-0039587,Reikjaviko g. 15,"Lempų keitimas bendro naudojimo patalpose, 2 vnt","Mano Būstas Klaipėda, UAB",LIGHT,2.0,vnt,16.51,8.255
134,V25-0046745,Reikjaviko g. 14,"Karšto vandens vamzdynų sistemos būklės įvertinimas, išvadų pateikimas","Mano Būstas Klaipėda, UAB",PIPE_STACK,2.0,vnt,35.0,17.5
135,V25-0002648,Pietinė g. 13,Judesio daviklio keitimas 2-os laiptinės 1-ame aukšte,"Mano Būstas Klaipėda, UAB",LIGHT,3.0,m,50.58,16.86
136,V25-0092380-3,Žardininkų g. 8,"Lempų keitimas bendro naudojimo patalpose, 6 vnt","Mano Būstas Klaipėda, UAB",LIGHT,6.0,vnt,49.56,8.26
137,V25-0073508,Žardininkų g. 21,"Judesio daviklio ir lemputės keitimas, 3-ia laiptinė","Mano Būstas Klaipėda, UAB",LIGHT,3.0,m,58.84,19.613333333333333
138,V25-0029892,Baltijos pr. 69,"Lempų keitimas bendro naudojimo patalpose, 18 vnt","Mano Būstas Klaipėda, UAB",LIGHT,18.0,vnt,148.68,8.26
139,V25-0073508,Žardininkų g. 21,"Judesio daviklio ir lemputės keitimas, 3-ia laiptinė","Mano Būstas Klaipėda, UAB",LIGHT,3.0,m,58.84,19.613333333333333
140,V25-0002648,Pietinė g. 13,Judesio daviklio keitimas 2-os laiptinės 1-ame aukšte,"Mano Būstas Klaipėda, UAB",LIGHT,3.0,m,50.58,16.86
141,V25-0000034,Vingio g. 15,"Elektros instaliacijos defektų nustatymo darbai, lempučių 2 vnt keitimas","Mano Būstas Klaipėda, UAB",PIPE_STACK,2.0,vnt,51.51,25.755
142,V25-0025810,Alksnynės g. 6A,Judesio daviklio keitimas 2-os laiptinės 2-ame aukšte,"Mano Būstas Klaipėda, UAB",LIGHT,3.0,m,51.66,17.22
143,V25-0034009,Debreceno g. 34,"Lempų keitimas bendro naudojimo patalpose, 2 vnt","Mano Būstas Klaipėda, UAB",LIGHT,3.0,m,16.51,5.503333333333334
144,V25-0067814,Statybininkų pr. 33,Lemputės keitimas bendro naudojimo patalpose,"Mano Būstas Klaipėda, UAB",LIGHT,3.0,m,52.5,17.5
145,V25-0077866,Taikos pr. 86,Šviestuvo su judesio davikliu keitimas 1-os laiptinės 3-iame aukšte,"Mano Būstas Klaipėda, UAB",LIGHT,3.0,m,55.49,18.496666666666666
146,V25-0062239,Žardininkų g. 3,Judesio daviklio keitimas 1-os laiptinės 4-ame aukšte,"Mano Būstas Klaipėda, UAB",PIPE_STACK,2.0,m,51.78,25.89
147,V25-0000034,Vingio g. 15,"Elektros instaliacijos defektų nustatymo darbai, lempučių 2 vnt keitimas","Mano Būstas Klaipėda, UAB",PIPE_STACK,2.0,vnt,51.51,25.755
148,V25-0010601-1,Baltijos pr. 5,"Lempų keitimas bendro naudojimo patalpose, 5 vnt","Mano Būstas Klaipėda, UAB",LIGHT,5.0,vnt,41.28,8.256
149,V25-0034009,Debreceno g. 34,"Lempų keitimas bendro naudojimo patalpose, 2 vnt","Mano Būstas Klaipėda, UAB",LIGHT,3.0,m,16.51,5.503333333333334
150,V25-0077866,Taikos pr. 86,Šviestuvo su judesio davikliu keitimas 1-os laiptinės 3-iame aukšte,"Mano Būstas Klaipėda, UAB",LIGHT,3.0,m,55.49,18.496666666666666
151,V25-0075753-1,Baltijos pr. 69,"Lempų keitimas bendro naudojimo patalpose, 5 vnt","Mano Būstas Klaipėda, UAB",LIGHT,5.0,vnt,41.28,8.256
152,V25-0110367,Debreceno g. 82,"Apšvietimo sistemos patikrinimas, automatinio jungiklio įjungimas, lemputės keitimas, 2-a laiptinė","Mano Būstas Klaipėda, UAB",LIGHT,2.0,vnt,54.1,27.05
153,V25-0044392-1,Šilutės pl. 88,Avariniai nuotekų vamzdynų sistemų darbai,"Mano Būstas Klaipėda, UAB",SEWER,2.0,m,156.0,78.0
154,V25-0075753-1,Baltijos pr. 69,"Lempų keitimas bendro naudojimo patalpose, 5 vnt","Mano Būstas Klaipėda, UAB",LIGHT,5.0,vnt,41.28,8.256
155,V25-0045286,Pietinė g. 18,Šviestuvų Italia su judesio davikliu montavimas arba keitimas,"Mano Būstas Klaipėda, UAB",LIGHT,3.0,m,35.0,11.666666666666666
156,V25-0099593-1,Pietinė g. 3,"Karšto vandens temperatūros reguliavimas, atstatymas","Mano Būstas Klaipėda, UAB",SEWER,24.0,m,35.0,1.4583333333333333
157,V25-0045908-3,Kauno g. 15,Šildymo termoventilių reguliavimas 71 bute,"Mano Būstas Baltija, UAB",RADIATOR,2.0,vnt,85.8,42.9
158,V25-0004376-2,Liepų g. 52,Nuotekų stovo keitimas (skersmuo 100 mm.),"Noske, UAB_21",SEWER,2.0,m,-257.02,-128.51
159,V25-0062692,Minijos g. 130C,Šildymo vamzdyno izoliacijos keitimas,"Noske, UAB_21",PIPE,2.0,m,130.0,65.0
160,V25-0043407-2,Kauno g. 23,"Bendro naudojimo karšto vandens cirkuliacinio stovo atkarpos keitimas, 1-a laiptinė","Noske, UAB_21",PIPE_STACK,1.0,vnt,235.18,235.18
